place_name,sector,reviewer_name,rating,time,text,text_clean,sentiment,score,place_lat,place_lng
Lejit Cafe,Harbourfront and Intermoda Area,Nanang Taufiqurrahman,5,2 tahun lalu,"Kalo lagi pulkam, nugas kuliah disini wkwk",kalo lagi pulkam  nugas kuliah disini wkwk,Netral,0.7755336761,-5.8653223,105.7478476
Lejit Cafe,Harbourfront and Intermoda Area,Hericson Samosir,4,2 tahun lalu,Bersantai sebelum berlayar,bersantai sebelum berlayar,Positif,0.9998016953,-5.8653223,105.7478476
The Gade Coffee and Gold Bakauheni,Harbourfront and Intermoda Area,H S,5,5 tahun lalu,"Salah satu spot favorit di Dermaga Eksekutif Bakauheni. Secara umum di Bakauheni khususnya Dermaga Eksekutif masih belum terlalu banyak vendor penjual makanan dan minuman. Di The Gade baik minumannya yang enak, lokasinya juga teduh dan nyaman untuk nongkrong. Saran saya kalau bisa tambah menu untuk makanan ringan maupun makanan beratnya.",salah satu spot favorit di dermaga eksekutif bakauheni  secara umum di bakauheni khususnya dermaga eksekutif masih belum terlalu banyak vendor penjual makanan dan minuman  di the gade baik minumannya yang enak  lokasinya juga teduh dan nyaman untuk nongkrong  saran saya kalau bisa tambah menu untuk makanan ringan maupun makanan beratnya,Positif,0.999968648,-5.8659426,105.757058
The Gade Coffee and Gold Bakauheni,Harbourfront and Intermoda Area,Ksatria Baja Hitam,4,3 tahun lalu,"Apabila anda jenuh menunggu keberangkatan kapal, maka nongkrong disini adalah jawabannya.

Minum kopi sambil melihat laut dan kapal, sungguh menyejukkan.","apabila anda jenuh menunggu keberangkatan kapal  maka nongkrong disini adalah jawabannya 

minum kopi sambil melihat laut dan kapal  sungguh menyejukkan",Positif,0.9999620914,-5.8659426,105.757058
The Gade Coffee and Gold Bakauheni,Harbourfront and Intermoda Area,Adi Fajar Sidik,5,6 tahun lalu,"Cafe gade coffee Terminal Eksekutif Bakauheni
Berbagai macam minuman kopi","cafe gade coffee terminal eksekutif bakauheni
berbagai macam minuman kopi",Positif,0.9956489205,-5.8659426,105.757058
The Gade Coffee and Gold Bakauheni,Harbourfront and Intermoda Area,Siti Luly Awaliah,5,6 tahun lalu,Mantul,mantul,Positif,0.9999619722,-5.8659426,105.757058
The Gade Coffee and Gold Bakauheni,Harbourfront and Intermoda Area,Dwi Setyo Harjanto,5,6 tahun lalu,pemandangan yang bagus,pemandangan yang bagus,Positif,0.9999675751,-5.8659426,105.757058
Indomaret Point Terminal Eksekutif Bakauheni,Harbourfront and Intermoda Area,Lathifah Al Mubarokah,1,3 tahun lalu,"Jam 00 masih buka sih. Tapi baristanya kayak gak bisa buat kopi, masa pesen picollo dibuatnya kayak resep latte dan manis banget lagi. Beli matcha juga ke cairan manis banget sumpah gak wajar. Pokoknya lain rasanya kayak kopi indomaret point lainnya.",jam 00 masih buka sih  tapi baristanya kayak tidak bisa buat kopi  masa pesen picollo dibuatnya kayak resep latte dan manis banget lagi  beli matcha juga ke cairan manis banget sumpah tidak wajar  pokoknya lain rasanya kayak kopi indomaret point lainnya,Negatif,0.9883598089,-5.8656465,105.7573884
Indomaret Point Terminal Eksekutif Bakauheni,Harbourfront and Intermoda Area,Arshenio Gautama,1,8 bulan lalu,"Di training lagi kasir nya, klo gak tau nanya klo di bantu jangan belagak pinter, masak kasir di dermaga express kasir nya kayak anak magang, ngoprasiin edc aja  masi gagap, belanja non-tunai ribet nya luar biasa, masak sampe 3 cst yg gagal🤣 …",di training lagi kasir nya  klo tidak tau nanya klo di bantu jangan belagak pinter  masak kasir di dermaga express kasir nya kayak anak magang  ngoprasiin edc aja  masi gagap  belanja non tunai ribet nya luar biasa  masak sampe 3 cst yang gagal,Negatif,0.9999204874,-5.8656465,105.7573884
Indomaret Point Terminal Eksekutif Bakauheni,Harbourfront and Intermoda Area,nikadek putri,1,2 bulan lalu,dikasih sosis yang gosong + pecah sama kasir nya..,dikasih sosis yang gosong   pecah sama kasir nya,Negatif,0.9998970032,-5.8656465,105.7573884
Indomaret Point Terminal Eksekutif Bakauheni,Harbourfront and Intermoda Area,febriyani nst,1,9 bulan lalu,"Beli nasi chickennya buat makan di kapal, ehh pas makan ternyata ayam nya alot banget kayak karet,  sepertinya chicken yg kemaren tdk habis tpi dipanasin ulang. Jdi ga kemakan.",beli nasi chickennya buat makan di kapal  ehh pas makan ternyata ayam nya alot banget kayak karet   sepertinya chicken yang kemaren tidak habis tpi dipanasin ulang  jdi ga kemakan,Positif,0.9998617172,-5.8656465,105.7573884
Indomaret Point Terminal Eksekutif Bakauheni,Harbourfront and Intermoda Area,Evi Mei Tantj,1,7 bulan lalu,"Pelayanan tidak ramah,  kasir point solat bukan di jam isoma always kaya gini klo ke sini.",pelayanan tidak ramah   kasir point solat bukan di jam isoma always kaya gini klo ke sini,Negatif,0.9999390841,-5.8656465,105.7573884
Indomaret Point Terminal Eksekutif Bakauheni,Harbourfront and Intermoda Area,Sy Firdausy,5,2 tahun lalu,Terminal executive dermaga 7 Bakauheni. Kapal fery cepat berangkat,terminal executive dermaga 7 bakauheni  kapal fery cepat berangkat,Netral,0.9999104738,-5.8656465,105.7573884
Indomaret Point Terminal Eksekutif Bakauheni,Harbourfront and Intermoda Area,Wayan Pandu Gita Suradya,5,5 bulan lalu,Point coffe pesen palm sugar latte tapi ga dikasih palm sugarnya,point coffe pesen palm sugar latte tapi ga dikasih palm sugarnya,Netral,0.9998804331,-5.8656465,105.7573884
Indomaret Point Terminal Eksekutif Bakauheni,Harbourfront and Intermoda Area,Ronald Ustara,1,8 bulan lalu,"Kasir nya di training lagi, biar ngerti 3S dan bagaimana cara melayani cst dengan baik..",kasir nya di training lagi  biar ngerti 3s dan bagaimana cara melayani cst dengan baik,Positif,0.9960471988,-5.8656465,105.7573884
Indomaret Point Terminal Eksekutif Bakauheni,Harbourfront and Intermoda Area,Ronald Ustara,1,8 bulan lalu,Kasir nya kocak cst di tentuin pembayaran nya🤣 …,kasir nya kocak cst di tentuin pembayaran nya,Positif,0.9978869557,-5.8656465,105.7573884
Indomaret Point Terminal Eksekutif Bakauheni,Harbourfront and Intermoda Area,BeWee,4,3 tahun lalu,Kopi tutup jam 10,kopi tutup jam 10,Netral,0.9990128279,-5.8656465,105.7573884
Berkah Mart 1,Harbourfront and Intermoda Area,Nyimas Tiara,5,11 bulan lalu,"One stop shopping yg sat set sebelum naik kapal 👏🏻👏🏻, promonya banyak 👏🏻👏🏻 di sampingnya ada rumah makan jadi bisa buat pesen makanan sekalian. Ada counter pulsa juga 👏🏻👏🏻 …",one stop shopping yang sat set sebelum naik kapal       promonya banyak      di sampingnya ada rumah makan jadi bisa buat pesen makanan sekalian  ada counter pulsa juga,Positif,0.9668703675,-5.8671107,105.7559662
TOKO DEWI (Pusat Oleh - Oleh Khas Lampung) | Pelabuhan Bakauheni,Harbourfront and Intermoda Area,bremm ndraa,5,6 bulan lalu,"nanya di satpam katanya toko nya ga ada, padahal ada.. oleh- oleh nya lengkap banget.. sayang banget satpam pelabuhan nya ga ramah. Untung nyoba nyari ke dalam pelabuhan dan ketemuu, terimakasih banyak ya kakak toko Dewi. untuk ketemu toko ini. udah banyak oleh- oleh dan Murmer lagi.",nanya di satpam katanya toko nya ga ada  padahal ada   oleh  oleh nya lengkap banget   sayang banget satpam pelabuhan nya ga ramah  untung nyoba nyari ke dalam pelabuhan dan ketemuu  terimakasih banyak ya kakak toko dewi  untuk ketemu toko ini  sudah banyak oleh  oleh dan murmer lagi,Positif,0.9999587536,-5.8691129,105.7544631
TOKO DEWI (Pusat Oleh - Oleh Khas Lampung) | Pelabuhan Bakauheni,Harbourfront and Intermoda Area,Muliadi Sesra,5,2 tahun lalu,"Untuk teman teman yg lupa beli oleh oleh khas Lampung, don't panik  bisa mampir langsung ke toko Dewi, untuk rasa dan harga cocok dimulut pas dikantong pokoknya, pelayanannya super ramah dan semua oleh oleh nya dijamin lengkap dan berkualitas tentunya, sukses selalu untuk toko Dewi semoga semakin maju, dan pastinya nagih sih pengen beli disini lagi 👍",untuk teman teman yang lupa beli oleh oleh khas lampung  don t panik  bisa mampir langsung ke toko dewi  untuk rasa dan harga cocok dimulut pas dikantong pokoknya  pelayanannya super ramah dan semua oleh oleh nya dijamin lengkap dan berkualitas tentunya  sukses selalu untuk toko dewi semoga semakin maju  dan pastinya nagih sih pengen beli disini lagi,Positif,0.9999660254,-5.8691129,105.7544631
TOKO DEWI (Pusat Oleh - Oleh Khas Lampung) | Pelabuhan Bakauheni,Harbourfront and Intermoda Area,AMILLIA AMILLIA,5,4 tahun lalu,"Worth it bgt nih buat oleh"" buat teman"" kuliah, harganya cukup terjangkau di kalangan mahasiswa nih!
barang yang di jual berkualitas sekali!!
Good job toko Dewi!!!","worth it banget nih buat oleh  buat teman  kuliah  harganya cukup terjangkau di kalangan mahasiswa nih 
barang yang di jual berkualitas sekali  
good job toko dewi",Positif,0.9999644756,-5.8691129,105.7544631
TOKO DEWI (Pusat Oleh - Oleh Khas Lampung) | Pelabuhan Bakauheni,Harbourfront and Intermoda Area,Ami Amillia,5,Diedit 4 tahun lalu,"Berbelanja di toko ini sangat baik ya, barangnya berkualitas sekali dan harganya cukup terjangkau !!
Ibu , bapak nya juga ramah dalam melayani customer !!
Senang sekali saya berbelanja di toko ini!!","berbelanja di toko ini sangat baik ya  barangnya berkualitas sekali dan harganya cukup terjangkau   
ibu   bapak nya juga ramah dalam melayani customer   
senang sekali saya berbelanja di toko ini",Positif,0.9999651909,-5.8691129,105.7544631
TOKO DEWI (Pusat Oleh - Oleh Khas Lampung) | Pelabuhan Bakauheni,Harbourfront and Intermoda Area,Andita Fatihah,4,4 tahun lalu,Kalau mau cari oleh-oleh khas lampung terutama keripik buah disini cocok dan bisa direcomendit.... Kalau bisa sambil tawar ya... 😄 …,kalau mau cari oleh oleh khas lampung terutama keripik buah disini cocok dan bisa direcomendit     kalau bisa sambil tawar ya,Positif,0.9999526739,-5.8691129,105.7544631
TOKO DEWI (Pusat Oleh - Oleh Khas Lampung) | Pelabuhan Bakauheni,Harbourfront and Intermoda Area,Tri Mei Hendri,5,5 bulan lalu,Harga murah,harga murah,Positif,0.9999676943,-5.8691129,105.7544631
TOKO DEWI (Pusat Oleh - Oleh Khas Lampung) | Pelabuhan Bakauheni,Harbourfront and Intermoda Area,Afriyandi,5,3 tahun lalu,Murmer,murmer,Positif,0.9999198914,-5.8691129,105.7544631
Alfamart bakauheni 2,Harbourfront and Intermoda Area,16 Ekabima Pradipta Rivananda Perdana,5,4 bulan lalu,"Halo saya Pada hari Jumat tgl 5 September mengambil uang cash di ATM BCA di sini kurang lebih jam 5 pagi, kemungkinan kartu saya ketinggalan di Alfamart sini. Info dong untuk pihak staff yang bisa dihubungi, terimakasih 🙏🏻 …",halo saya pada hari jumat tgl 5 september mengambil uang cash di atm bca di sini kurang lebih jam 5 pagi  kemungkinan kartu saya ketinggalan di alfamart sini  info dong untuk pihak staff yang bisa dihubungi  terimakasih,Netral,0.9998731613,-5.8647677,105.7471109
Alfamart bakauheni 2,Harbourfront and Intermoda Area,Ribut Apriyani,5,7 bulan lalu,"Hallo ka saya ada ketinggalan KTP saya di Alfamart ini saat pembelian tiket kapal yg dilayani oleh staff kasir namanya mba catur, minta tolong ka dapat dikirimkan ke alamat sesuai yg di KTP ya ka untuk ongkir bisa cod aja ka, terimakasih",hallo ka saya ada ketinggalan ktp saya di alfamart ini saat pembelian tiket kapal yang dilayani oleh staff kasir namanya mba catur  minta tolong ka dapat dikirimkan ke alamat sesuai yang di ktp ya ka untuk ongkir bisa cod aja ka  terimakasih,Netral,0.9999068975,-5.8647677,105.7471109
Alfamart bakauheni 2,Harbourfront and Intermoda Area,Fiqi adams Adams,1,2 tahun lalu,"Buruk sekali kasirnya, masa saya beli kopi good day wafer selamat sama rokok filter Magnum, karena saya buru buru dan tidak mengecek kembali pesanan saya, dan akhirnya saya tiba di pelabuhan dan baru saya cek pesanan saya yang baru saja di Alfa tersebut, setelah saya lihat kenapa rokok saya tidak ada di bungkus plastik tersebut, tolong dong buat mbak yang kerja sebagai kasir di Alfa tersebut masa rokok saya gk di masukin ke plastik belanjaan saya, saya sangat kecewa sekali setelah saya cek rokok saya tidak ada, cuma ada kopi dn wafernya saja, tolong ba lain kali lebih teliti jangan mentang mentang gk saya cek malah gk di masukin itu rokok ke kantong belanjaan saya, kalian kerja yang jujur, rugi saya dapet rokoknya engga malah duit yang melayang lain kali di cek lagi ia jangan seperti itu, kapok saya. Evaluasi buat Alfa dan karyawan nya bad👎",buruk sekali kasirnya  masa saya beli kopi good day wafer selamat sama rokok filter magnum  karena saya buru buru dan tidak mengecek kembali pesanan saya  dan akhirnya saya tiba di pelabuhan dan baru saya cek pesanan saya yang baru saja di alfa tersebut  setelah saya lihat kenapa rokok saya tidak ada di bungkus plastik tersebut  tolong dong buat mbak yang kerja sebagai kasir di alfa tersebut masa rokok saya tidak di masukin ke plastik belanjaan saya  saya sangat kecewa sekali setelah saya cek rokok saya tidak ada  cuma ada kopi dn wafernya saja  tolong ba lain kali lebih teliti jangan mentang mentang tidak saya cek malah tidak di masukin itu rokok ke kantong belanjaan saya  kalian kerja yang jujur  rugi saya dapet rokoknya engga malah duit yang melayang lain kali di cek lagi ia jangan seperti itu  kapok saya  evaluasi buat alfa dan karyawan nya bad,Negatif,0.9999508858,-5.8647677,105.7471109
Alfamart bakauheni 2,Harbourfront and Intermoda Area,Albert Victoria,5,10 bulan lalu,"Lengkap, pelayan ok. Dan ada mesin ATM bca juga",lengkap  pelayan ok  dan ada mesin atm bca juga,Netral,0.6635344625,-5.8647677,105.7471109
Masjid Pelabuhan Bakauheni,Harbourfront and Intermoda Area,Wahyu Pratomo,4,9 bulan lalu,Mushola atw masjid di pelabuhan Bakahueni ini apakah bisa dibuat sholat jum'at??,mushola atw masjid di pelabuhan bakahueni ini apakah bisa dibuat sholat jum at,Netral,0.9998552799,-5.8688292,105.7555918
Masjid Pelabuhan Bakauheni,Harbourfront and Intermoda Area,iqbal alim,5,2 tahun lalu,Tempat parkir yg  dipercantik lg.,tempat parkir yang  dipercantik lg,Positif,0.9999620914,-5.8688292,105.7555918
Masjid Pelabuhan Bakauheni,Harbourfront and Intermoda Area,Arief Krisnadi,3,7 tahun lalu,"ni mushola tempatnya terpencil, butuh usaha yang keras untuk menemukan posisi nya di lingkungan pelabuhan Bakauheni.
Mohon PEMDA, untuk membuatkan masjid di lingkungan pelabuhan.","ni mushola tempatnya terpencil  butuh usaha yang keras untuk menemukan posisi nya di lingkungan pelabuhan bakauheni 
mohon pemda  untuk membuatkan masjid di lingkungan pelabuhan",Netral,0.9988021851,-5.8688292,105.7555918
Masjid Pelabuhan Bakauheni,Harbourfront and Intermoda Area,sidoluhur warta,4,8 tahun lalu,Mungkin sebagian orang menyebut musholla karena ukuranya yang tidak sebesar masjid pada umumnya,mungkin sebagian orang menyebut musholla karena ukuranya yang tidak sebesar masjid pada umumnya,Positif,0.9991207719,-5.8688292,105.7555918
Masjid Pelabuhan Bakauheni,Harbourfront and Intermoda Area,Abu Shimbad,4,9 tahun lalu,Musholla...bukan masjid...tp bgs...bersih..,musholla   bukan masjid   tapi bgs   bersih,Positif,0.9999554157,-5.8688292,105.7555918
Masjid Pelabuhan Bakauheni,Harbourfront and Intermoda Area,BossDarman,5,6 tahun lalu,Masjidnya bersih dan ntaman untuk beribadah,masjidnya bersih dan ntaman untuk beribadah,Positif,0.9999625683,-5.8688292,105.7555918
Masjid Pelabuhan Bakauheni,Harbourfront and Intermoda Area,dodi friyady,5,7 tahun lalu,Yg mudik pasti pernah mampir ke sini,yang mudik pasti pernah mampir ke sini,Positif,0.9999370575,-5.8688292,105.7555918
Masjid Pelabuhan Bakauheni,Harbourfront and Intermoda Area,Hendra Hidayat,5,9 tahun lalu,Pengen sholat disini,pengen sholat disini,Positif,0.9963455796,-5.8688292,105.7555918
Masjid Pelabuhan Bakauheni,Harbourfront and Intermoda Area,Seputar Bakauheni,5,Diedit 7 tahun lalu,"Bagus, rapih & Bersih",bagus  rapih   bersih,Positif,0.9999560118,-5.8688292,105.7555918
Masjid Pelabuhan Bakauheni,Harbourfront and Intermoda Area,Suwar Tini,5,setahun lalu,Nyaman,nyaman,Positif,0.9999681711,-5.8688292,105.7555918
DERMAGA 2 Pelabuhan Bakauheni,Harbourfront and Intermoda Area,Adella Febiana,5,2 tahun lalu,"Lingkungannya bersih, kapalnya nyaman, banyak tempat duduk, ada ruang ber-AC dan juga lesehan, perjalanan 2-4 jam, terkadang lancar dan terkadang cukup mengantri panjang bila bepergian di waktu liburan",lingkungannya bersih  kapalnya nyaman  banyak tempat duduk  ada ruang ber ac dan juga lesehan  perjalanan 2 4 jam  terkadang lancar dan terkadang cukup mengantri panjang bila bepergian di waktu liburan,Positif,0.9999685287,-5.8691898,105.7559898
DERMAGA 2 Pelabuhan Bakauheni,Harbourfront and Intermoda Area,Wahyu Indayani,5,setahun lalu,"Tentang Dermaga
🍉Alur masuk sudah cukup mudah, beda saat era covid19 dulu ribet dan tiap petugas seperti tidak ada komunikasi.
🍉 untuk penumpang non eksekutif, g ada ruang tunggu. Tunggu di mobil masing² dekat mulut dermaga
🍉 saat menunggu kapal tiba, banyak penjual lewat
🍉 dermaganya bersih, kalau kapalnya beda² ya ada yang bersih ada yg pesing juga area parkirnya hehe
🍉 angin laut sepoi²

Tentang Kapal
🍉 Hampir semua kapal ruang penumpang dibedakan ekonomi dam berbayar. Untuk berbayar bisa tiduran biasanya 10-15k/kepala (bayi tidak dihitung) sewa bantal +-5k (better bawa sendiri ya), untuk ekonomi khusus duduk.
🍉 tiap kapal pasti ada mini bar nya, jadi kalau lapar bisa beli makanan instan disana
🍉 hampir tiap toilet kapal ferry arah merak-bakahuni/sebaliknya kurang bersih. Sebaiknya sbelum masuk kapal bisa BAK dulu","tentang dermaga
 alur masuk sudah cukup mudah  beda saat era covid19 dulu ribet dan tiap petugas seperti tidak ada komunikasi 
  untuk penumpang non eksekutif  g ada ruang tunggu  tunggu di mobil masing² dekat mulut dermaga
  saat menunggu kapal tiba  banyak penjual lewat
  dermaganya bersih  kalau kapalnya beda² ya ada yang bersih ada yang pesing juga area parkirnya hehe
  angin laut sepoi²

tentang kapal
  hampir semua kapal ruang penumpang dibedakan ekonomi dam berbayar  untuk berbayar bisa tiduran biasanya 10 15k kepala  bayi tidak dihitung  sewa bantal   5k  better bawa sendiri ya   untuk ekonomi khusus duduk 
  tiap kapal pasti ada mini bar nya  jadi kalau lapar bisa beli makanan instan disana
  hampir tiap toilet kapal ferry arah merak bakahuni sebaliknya kurang bersih  sebaiknya sbelum masuk kapal bisa bak dulu",Positif,0.9999043941,-5.8691898,105.7559898
DERMAGA 2 Pelabuhan Bakauheni,Harbourfront and Intermoda Area,Gilang Prastya Lesmana,5,2 tahun lalu,"Alhamdulillah walaupun long weekend bisa langsung masuk kapal jm 9 malam, sampai merak jm 1 lebih karena mengantri (1/2 jm lbh menunggu ditengah laut), tengah malam bisa lihat bulan purnama ditengah laut dan anginnya ga terlalu kenceng jadi bisa tidur dengan pinjam tikar diatas dek kapal depan,,, masuk angin ada istri yg ngerokin 😁😁
Biaya 450 up lah klo ga salah 1 mobil","alhamdulillah walaupun long weekend bisa langsung masuk kapal jm 9 malam  sampai merak jm 1 lebih karena mengantri  1 2 jm lbh menunggu ditengah laut   tengah malam bisa lihat bulan purnama ditengah laut dan anginnya ga terlalu kenceng jadi bisa tidur dengan pinjam tikar diatas dek kapal depan    masuk angin ada istri yang ngerokin   
biaya 450 up lah klo ga salah 1 mobil",Positif,0.9999456406,-5.8691898,105.7559898
DERMAGA 2 Pelabuhan Bakauheni,Harbourfront and Intermoda Area,Jaka Purwadi,5,8 bulan lalu,Pertama kesini pulang ke jawa setelah menengok nenek darı Sumatra .terlihat rame sekali antrian penyeberanganY,pertama kesini pulang ke jawa setelah menengok nenek darı sumatra  terlihat ramai sekali antrian penyeberangany,Positif,0.9612787962,-5.8691898,105.7559898
DERMAGA 2 Pelabuhan Bakauheni,Harbourfront and Intermoda Area,sp barus,4,3 tahun lalu,"Non eksekutif kapalnya lama, kalau masuk keruangan pasti dipungut biaya lagi, kalau mau pakai bantalnya dipungut biaya lagi.
Ya namanya kapal ekonomi","non eksekutif kapalnya lama  kalau masuk keruangan pasti dipungut biaya lagi  kalau mau pakai bantalnya dipungut biaya lagi 
ya namanya kapal ekonomi",Negatif,0.9998750687,-5.8691898,105.7559898
DERMAGA 2 Pelabuhan Bakauheni,Harbourfront and Intermoda Area,galih wibisono,5,setahun lalu,"Hadeh,November 2024 balik dari Jawa, sekarang jalan nya diputer puter sebelum masuk tol",hadeh november 2024 balik dari jawa  sekarang jalan nya diputer puter sebelum masuk tol,Netral,0.9998829365,-5.8691898,105.7559898
